Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
ZLAB,Long,2020-08-26,84.1,2020-08-27,81.577,-3.00%,-40.37,-3.00%,16,1345.60,-40.37,2,-20.18,-3.00%,2.26%,0/0
CVNA,Long,2020-08-27,208.65,2020-09-03,212.624,1.90%,63.58,1.90%,16,3338.40,2.07,6,10.60,-2.63%,12.63%,0/0
IMAB,Long,2020-08-27,32.1,2020-08-28,31.137,-3.00%,-15.41,-3.00%,16,513.60,-55.78,2,-7.70,-3.89%,5.89%,0/0
RNG,Long,2020-08-28,297.6,2020-09-03,289.9815,-2.56%,-121.90,-2.56%,16,4761.60,-119.82,5,-24.38,-3.55%,6.80%,0/0
CLDX,Long,2020-08-28,11.95,2020-08-31,11.5915,-3.00%,-5.74,-3.00%,16,191.20,-61.51,2,-2.87,-8.95%,1.76%,0/0
HRMY,Long,2020-08-31,36.25,2020-09-14,41.68932,15.01%,87.03,15.01%,16,580.00,-644.36,10,8.70,-4.86%,30.68%,0/0
CVNA,Long,2020-09-01,219.2,2020-09-03,212.624,-3.00%,-105.22,-3.00%,16,3507.20,-225.04,3,-35.07,-3.00%,7.21%,0/0
RNG,Long,2020-09-01,298.95,2020-09-03,289.9815,-3.00%,-143.50,-3.00%,16,4783.20,-368.54,3,-47.83,-3.36%,6.32%,0/0
ASML,Long,2020-09-02,386.9,2020-09-03,375.293,-3.00%,-185.71,-3.00%,16,6190.40,-688.74,2,-92.86,-3.00%,0.47%,0/0
CLDX,Long,2020-09-02,12.25,2020-09-03,11.8825,-3.00%,-5.88,-3.00%,16,196.00,-694.62,2,-2.94,-3.51%,4.65%,0/0
FTHM,Long,2020-09-02,18.6,2020-09-03,18.042,-3.00%,-8.93,-3.00%,16,297.60,-703.55,2,-4.46,-7.68%,14.09%,0/0
ADSK,Long,2020-09-02,254.45,2020-09-03,246.8165,-3.00%,-122.14,-3.00%,16,4071.20,-490.67,2,-61.07,-3.00%,2.94%,0/0
ANNX,Long,2020-09-02,25.75,2020-09-03,24.9775,-3.00%,-12.36,-3.00%,16,412.00,-503.03,2,-6.18,-5.46%,4.85%,0/0
CYTK,Long,2020-09-03,25.05,2020-09-04,23.3099,-6.95%,-27.84,-6.95%,16,400.80,-731.39,2,-13.92,-7.74%,0.16%,0/0
TRUP,Long,2020-09-09,69.4,2020-09-17,71.004,2.31%,25.66,2.31%,16,1110.40,-624.74,7,3.67,-2.51%,11.77%,0/0
CLDX,Long,2020-09-14,12.59,2020-09-15,12.2123,-3.00%,-6.04,-3.00%,16,201.44,-650.41,2,-3.02,-3.00%,6.67%,0/0
PFSI,Long,2020-09-14,55.06,2020-09-24,53.4082,-3.00%,-26.43,-3.00%,16,880.96,-1053.26,9,-2.94,-5.28%,5.34%,0/0
SA,Long,2020-09-14,19.61,2020-09-21,19.0217,-3.00%,-9.41,-3.00%,16,313.76,-803.91,6,-1.57,-3.93%,3.16%,0/0
CMBM,Long,2020-09-14,14.59,2020-09-24,16.83823,15.41%,35.97,15.41%,16,233.44,-1026.83,9,4.00,-3.43%,36.39%,0/0
WST,Long,2020-09-15,278.67,2020-09-23,270.3099,-3.00%,-133.76,-3.00%,16,4458.72,-1062.80,7,-19.11,-3.93%,2.53%,0/0
